file_id	image_path	species	source
77937	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-01-1.jpg	Diospyros virginiana	lab
77938	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-01-2.jpg	Diospyros virginiana	lab
77939	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-01-3.jpg	Diospyros virginiana	lab
77940	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-01-4.jpg	Diospyros virginiana	lab
77941	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-02-1.jpg	Diospyros virginiana	lab
77942	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-02-2.jpg	Diospyros virginiana	lab
77943	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-02-3.jpg	Diospyros virginiana	lab
77944	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-02-4.jpg	Diospyros virginiana	lab
77945	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-03-1.jpg	Diospyros virginiana	lab
77946	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-03-2.jpg	Diospyros virginiana	lab
77947	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-03-3.jpg	Diospyros virginiana	lab
77948	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-03-4.jpg	Diospyros virginiana	lab
77949	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-04-1.jpg	Diospyros virginiana	lab
77950	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-04-2.jpg	Diospyros virginiana	lab
77951	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-04-3.jpg	Diospyros virginiana	lab
77952	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-04-4.jpg	Diospyros virginiana	lab
77953	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-05-1.jpg	Diospyros virginiana	lab
77954	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-05-2.jpg	Diospyros virginiana	lab
77955	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-05-3.jpg	Diospyros virginiana	lab
77956	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-05-4.jpg	Diospyros virginiana	lab
77957	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-06-1.jpg	Diospyros virginiana	lab
77958	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-06-2.jpg	Diospyros virginiana	lab
77959	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-06-3.jpg	Diospyros virginiana	lab
77960	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-06-4.jpg	Diospyros virginiana	lab
77961	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-07-1.jpg	Diospyros virginiana	lab
77962	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-07-2.jpg	Diospyros virginiana	lab
77963	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-07-3.jpg	Diospyros virginiana	lab
77964	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-07-4.jpg	Diospyros virginiana	lab
77965	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-08-1.jpg	Diospyros virginiana	lab
77966	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-08-2.jpg	Diospyros virginiana	lab
77967	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-08-3.jpg	Diospyros virginiana	lab
77968	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-08-4.jpg	Diospyros virginiana	lab
77969	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-09-1.jpg	Diospyros virginiana	lab
77970	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-09-2.jpg	Diospyros virginiana	lab
77971	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-09-3.jpg	Diospyros virginiana	lab
77972	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-09-4.jpg	Diospyros virginiana	lab
77973	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-10-1.jpg	Diospyros virginiana	lab
77974	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-10-2.jpg	Diospyros virginiana	lab
77975	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-10-3.jpg	Diospyros virginiana	lab
77976	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-10-4.jpg	Diospyros virginiana	lab
77977	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi2198-01-1.jpg	Diospyros virginiana	lab
77978	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi2198-01-2.jpg	Diospyros virginiana	lab
77979	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi2198-01-3.jpg	Diospyros virginiana	lab
77980	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi2198-01-4.jpg	Diospyros virginiana	lab
77981	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi2198-02-1.jpg	Diospyros virginiana	lab
77982	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi2198-02-2.jpg	Diospyros virginiana	lab
77983	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi2198-02-3.jpg	Diospyros virginiana	lab
77984	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi2198-02-4.jpg	Diospyros virginiana	lab
77985	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi2198-03-1.jpg	Diospyros virginiana	lab
77986	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi2198-03-2.jpg	Diospyros virginiana	lab
77987	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi2198-03-3.jpg	Diospyros virginiana	lab
77988	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi2198-03-4.jpg	Diospyros virginiana	lab
77989	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi2198-04-1.jpg	Diospyros virginiana	lab
77990	dataset/images/lab/Auto_cropped/diospyros_virginiana/pi2198-04-2.jpg	Diospyros virginiana	lab
